fixture_id,kickoff,team,player,p_shots_gt0.5,odds_shots_gt0.5,ev_shots_gt0.5,p_shots_gt1.5,odds_shots_gt1.5,ev_shots_gt1.5,p_shots_gt2.5,odds_shots_gt2.5,ev_shots_gt2.5,p_sot_gt0.5,odds_sot_gt0.5,ev_sot_gt0.5,p_sot_gt1.5,odds_sot_gt1.5,ev_sot_gt1.5
1557372,2026-08-22T16:30:00+00:00,Tottenham,Sandro Tonali,,1.33,,,2.38,,,5.5,,,2.75,,,13.0,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Conor Gallagher,,1.4,,,2.75,,,6.5,,,3.0,,,15.0,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Mikey Moore,0.765,1.22,-0.067,0.494,1.91,-0.056,0.288,3.75,0.08,,2.0,,,6.5,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Mathys Tel,0.829,1.14,-0.055,0.601,1.62,-0.026,0.398,2.75,0.095,,1.8,,,5.0,
1557372,2026-08-22T16:30:00+00:00,Tottenham,Richarlison,0.868,1.07,-0.071,0.673,1.36,-0.085,0.482,2.0,-0.036,0.599,1.44,-0.137,0.283,3.25,-0.08
1557373,2026-08-23T13:00:00+00:00,Brighton,Bart Verbruggen,0.0,,,0.0,,,0.0,,,,,,,,
1557373,2026-08-23T13:00:00+00:00,Brighton,Mats Wieffer,0.511,1.62,-0.172,0.199,3.75,-0.254,0.067,11.0,-0.263,,3.4,,,17.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Luka Vušković,,1.62,,,3.75,,,11.0,,,3.4,,,17.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Olivier Boscagli,0.277,2.0,-0.446,0.055,5.5,-0.698,0.009,19.0,-0.829,,4.33,,,21.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Lewis Dunk,0.486,1.73,-0.159,0.179,4.33,-0.225,0.057,13.0,-0.259,,3.5,,,19.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Pascal Groß,0.628,1.44,-0.096,0.314,3.0,-0.058,0.138,7.0,-0.034,,3.0,,,13.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Yasin Ayari,0.719,1.14,-0.18,0.428,1.67,-0.285,0.228,3.0,-0.316,,1.83,,,6.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Diego Gómez,0.729,1.08,-0.213,0.442,1.4,-0.381,0.24,2.2,-0.472,,1.62,,,4.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Jack Hinshelwood,0.708,1.12,-0.207,0.413,1.57,-0.352,0.214,2.62,-0.439,,1.8,,,5.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Maxim De Cuyper,0.498,1.1,-0.452,0.189,1.44,-0.728,0.062,2.25,-0.861,,2.25,,,9.0,
1557373,2026-08-23T13:00:00+00:00,Brighton,Georginio Rutter,0.826,1.08,-0.108,0.595,1.4,-0.167,0.391,2.2,-0.14,,1.62,,,4.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Marco Bizot,0.001,,,0.0,,,0.0,,,,,,,,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Matty Cash,0.43,1.53,-0.342,0.138,3.4,-0.531,0.038,9.0,-0.658,,3.0,,,13.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Pau Torres,0.29,2.38,-0.31,0.06,8.0,-0.52,0.011,21.0,-0.769,,5.5,,,,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Victor Lindelöf,0.213,1.83,-0.61,0.032,5.0,-0.84,0.004,15.0,-0.94,,3.75,,,21.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Ian Maatsen,0.524,1.53,-0.198,0.211,3.4,-0.283,0.074,9.0,-0.334,,3.4,,,17.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Ross Barkley,0.699,1.25,-0.126,0.401,2.1,-0.158,0.204,4.33,-0.117,,2.5,,,11.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,Boubacar Kamara,0.327,2.0,-0.346,0.077,5.5,-0.577,0.016,19.0,-0.696,,4.33,,,21.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,John McGinn,0.561,1.25,-0.299,0.244,2.1,-0.488,0.093,4.33,-0.597,,2.25,,,9.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,João Gomes,,1.57,,,3.5,,,10.0,,,3.25,,,17.0,
1557373,2026-08-23T13:00:00+00:00,Aston Villa,George Hemmings,0.577,1.4,-0.192,0.261,2.62,-0.316,0.103,6.0,-0.382,,2.62,,,11.0,
